name,country,region,,email,phone,website,,,,,,,,,,,,,,
Indigo,Spain ,"SPAIN, PORTUGAL, MADEIRA, ANDORRA, MOROCCO, PERU, COLOMBIA, ECUADOR, BOLIVIA, CHILE",,info@indigo-dmc.com,34952961461,https://www.indigo-dmc.com/,,,,,,,,,,,,,1,Sent
Viva Trip,Spain,"Spain, Portugal, South France, Andorra",,info@viva-trip.com,34911639324,http://www.viva-trip.com/,,,,,,,,,,,,,1,Sent
About Events,Spain,"Spain, Greece",,alex@about-events.com,34936111999,https://www.facebook.com/abouteventsDMCandTRAVELS/,,,,,,,,,,,,,1,Sent
The Real Thing,Spain,"Spain, Portugal",,info@therealthing.es,34669591954,https://therealthing.es/,,,,,,,,,,,,,1,Sent
Dynamic & Partners,Spain,"Spain, Portugal",,d&p@dynamic-partners.es,34915045060,https://www.dynamic-partners.es/,,,,,,,,,,,,,1,Sent
ABAQ DMC,Spain,"Spain, Morocco, Portugal",,info@abaqdmc.com,34630070893,https://abaqdmc.com/,,,,,,,,,,,,,1,Sent
Citi Travel,Spain,"Spain, Portugal",,agp@cititravel.es,34952206110,https://cititraveldmc.com/,,,,,,,,,,,,,1,Sent
Moments DMC,Spain,"Spain, Portugal, France",,designer@momentsdmc.com,34934120150,https://momentsdmc.com/,,,,,,,,,,,,,1,Sent
Best Of Lanka,Sri Lanka,Sri Lanka,,info@bestoflanka.com,94773476288,,,,,,,,,,,,,,,Sent
Lanka Holidays,Sri Lanka,Sri Lanka,,info@srilankaholidays.net,94112372252,https://srilankaholidays.net/,,,,,,,,,,,,,,Sent
Sri Lanka Eden Travels,Sri Lanka,Sri Lanka,Madu,madu.srilankaviajeseden@gmail.com,94814548086,https://srilankaedentravels.com/contact/,,,,,,,,,,,,,,Sent
Tour Blue,Sri Lanka,Sri Lanka,,info@tourblue.com,94117460171,,,,,,,,,,,,,,,Sent
LeoLand Tours,Sri Lanka,Sri Lanka,,info@leolandtravels.lk,94766730732,,,,,,,,,,,,,,,Sent
DT Travels,Sri Lanka,Sri Lanka,,inquiries@dttravelssrilanka.com,94776307625,,,,,,,,,,,,,,,Sent
Srilanka Express,Sri Lanka,Sri Lanka,,web@srilanka-express.com,94777353286,https://www.srilanka-express.com/,,,,,,,,,,,,,,Sent
My Leisure Pvt. Ltd,Sri Lanka,Sri Lanka,,shafraz.m@live.com,94710600888,,,,,,,,,,,,,,,Sent
Ceylon Roots,Sri Lanka,Sri Lanka,,info@ceylonroots.com,94117701425,https://www.ceylonroots.com/,,,,,,,,,,,,,,Sent
Tangerine Tours,Sri Lanka,Sri Lanka,,hello@tangerinetours.com,94764405974,https://www.tangerinetours.com/,,,,,,,,,,,,,,Sent
Holidays by Splendour,Sri Lanka,Sri Lanka,,dilini@thebluewatersrilanka.com,94770175175,holidaysbysplendour.com,,,,,,,,,,,,,,Sent
Golden Isle Travels,Sri Lanka,Sri Lanka,,info@goldenislesrilanka.com,94112334554,https://www.goldenislesrilanka.com/,,,,,,,,,,,,,,Sent
Miki Travel,Norway,"Sweden, Norway, Denmark, Finland and Iceland",,dmc.nordic@group-miki.com,,https://www.mikitraveldmc.com/northern-europe,,,,,,,,,,,,,0,Sent
Great Little Switzerland,Switzerland,Switzerland,,welcome@greatlittleswitzerland.com,,https://greatlittleswitzerland.com/,,,,,,,,,,,,,,Sent
Swiss Motivation Travel,Switzerland,Switzerland,,smtravel@dmcgva.ch,,https://smtravel.com/,,,,,,,,,,,,,,Sent
Watch & Cow,Switzerland,Switzerland,,contact@watchandcow.ch,,https://www.watchandcow.com/,,,,,,,,,,,,,,Sent
Swiss Select Travel,Switzerland,Switzerland,,info@swissselecttravel.ch,,https://swissselecttravel.ch/,,,,,,,,,,,,,,Sent
Cosa Travel,Switzerland,Switzerland,,mail@cosatravel.ch,,https://cosatravel.ch/services/switzerland-experts/,,,,,,,,,,,,,,Sent
Soul Of Tanzania,Tanzania,Tanzania,,hello@souloftanzania.com,,https://www.souloftanzania.com/,,,,,,,,,,,,,,Sent
Tanzania Safari Supremacy,Tanzania,Tanzania,,info@safaris-intanzania.com,,https://www.safaris-intanzania.com/about-us-dmc-in-tanzania/,,,,,,,,,,,,,,Sent
Foot Slopes,Tanzania,Tanzania,,info@footslopestours.com,,https://footslopestours.com/tanzania/tanzania-destination-management-company,,,,,,,,,,,,,,Sent
Gosheni Safaris,Tanzania,Tanzania,,info@goshenisafaris.com,,https://goshenisafaris.com/dmc-tanzania/,,,,,,,,,,,,,,Sent
Travel DMC,Thailand,Thailand,,info@travel-dmc.com,,https://travel-dmc.com/thailand-dmc/,Tours & Travel,,,,,,,,,,,,,Sent
Siam DMC Thailand,Thailand,Thailand,,info@siamdmc.com,66875117486,https://www.siamdmc.com/,Tours,,,,,,,,,,,,,Sent
Royal Vacation,Thailand,Thailand,,rsvn@royalvacationtours.com,6623470613,https://royalvacationdmc.com/tours-categories/honeymoons-in-thailand/,Tours,,,,,,,,,,,,,Sent
Thailand Tours,Thailand,Thailand,,info@tours.co.th,,https://tours.co.th/,Tours,,,,,,,,,,,,,Sent
K1 Travels,Thailand,Thailand,,info@k1travels.com,66831269002,https://www.k1travels.com/thailand-dmc-in-bangalore/,,,,,,,,,,,,,,Sent
Voyage 2 Thailand,Thailand,Thailand,,voyage2thailand@aol.com,66629476040,https://www.voyage2thailand.com/,,,,,,,,,,,,,,Sent
Amazing Thailand,Thailand,Thailand,,,66022505500,https://www.tourismthailand.org/Home,,,,,,,,,,,,,10,Failed after 10 attempts
Travel Deck,Thailand,Thailand,,,9.18E+11,https://traveldeckdmc.com/,,,,,,,,,,,,,10,Failed after 10 attempts
Experience Thailand,Thailand,Thailand,,info@experiencethailand.co,66640320021,https://experiencethailand.co/,,,,,,,,,,,,,,Sent
Sea DMC,Thailand,Thailand,,info@seadmcthailand.com,6.61E+11,https://www.seadmcthailand.com/,,,,,,,,,,,,,,Sent
Phuket Event Company,Thailand,Thailand,,info@phuketeventcompany.com,66657495221,https://www.phuketeventcompany.com/,,,,,,,,,,,,,,Sent
Wat Thai,Thailand,Thailand,,daxang@watthaidmc.com,,https://www.watthaidmc.com/,,,,,,,,,,,,,,Sent
Thai Travel Centre,Thailand,Thailand,,thailand.dmc@thaitravelcenter.com,6623088383,https://www.thaitravelcenter.com/thailand/,,,,,,,,,,,,,,Sent
Arihant Thailand,Thailand,Thailand,,reservations@arihantthailand.com,,https://www.arihantthailand.com/,,,,,,,,,,,,,,Sent
Thai Arrivals DMC,Thailand,Thailand,,,6633041957,https://www.thaiarrivalsdmc.com/index.html,,,,,,,,,,,,,10,Failed after 10 attempts
Fly Thai,Thailand,Thailand,,ops@flythai.in,9.20E+11,https://flythai.in/,,,,,,,,,,,,,,Sent
Kingdom DMC,Thailand,Thailand,,dasha@kingdom-dmc.com,6.61E+11,http://kingdom-dmc.com/,,,,,,,,,,,,,,Sent
Thai Booking Window,Thailand,Thailand,,aliasger@thaibookingwindow.com,9510323227,https://thaibookingwindow.com/,,,,,,,,,,,,,,Sent
Phuket Dream Company,Thailand,Thailand,,info@phuketdreamcompany.asia,,https://www.phuketdreamcompany.asia/,,,,,,,,,,,,,,Sent
Sky 7 Travel Thailand DMC,Thailand,Thailand,,sky7travel.sales@gmail.com,66909724786,https://www.sky7travelthailanddmc.com/home,,,,,,,,,,,,,,Sent
Victory International Tours,Thailand,Thailand,,dinesh@victoryint.asia,66624638671,https://victoryint.asia/,,,,,,,,,,,,,0,Sent
Skyred Thailand,Thailand,Thailand,,skyredthailand@gmail.com,,https://www.skyredthailand.com/page/about-us,,,,,,,,,,,,,0,Sent
Krabi Spesialisten,Krabi,Thailand,,info@krabi-spesialisten.com,,https://krabi-spesialisten.com/,,,,,,,,,,,,,,Sent
Travsiam,Krabi,Thailand,,info@travsiam.com,,https://travsiam.com/,,,,,,,,,,,,,,Sent
Trip Magnum,Krabi,Thailand,,sales@tripmagnum.com,,https://www.tripmagnum.com/,,,,,,,,,,,,,,Sent
Travools,Thailand,"Thailand, India, Bali, Dubai",,info@travools.com,,https://travools.com/,,,,,,,,,,,,,No Response,Sent
Travel 2 World,Thailand,"Thailand, Malaysia, Singapore, Dubai, Bali, Hongkong, Sri Lanka",,sanjeev@dmctravel2world.com,,https://dmctravel2world.com/index.php,,,,,,,,,,,,,No Response,Sent
Red Fox Events,Cambodia,"Thailand, Vietnam, Cambodia, Laos",,write-us@redfox.travel,,https://redfox.travel/,,,,,,,,,,,,,1,Sent
Destination Asia,Vietnam,"Thailand, Vietnam, China, Japan, Hong Kong, Indonesia, Singapore, Cambodia, Malaysia, Myanmar, Laos,",,vietnam@destination-asia.com,84838448071,https://www.destination-asia.com/,,,,,,,,,,,,,,Sent
Backpacking Tours,Thailand ,"Thailand, Vietnam, South Korea, Bali, Cambodia, India, Philippines, Japan, Fiji",,,,https://www.backpackingtours.com/,,,,,,,,,,,,,10,Failed after 10 attempts
Yatin,India,"Kolkata,Mumbai",,kumaryatin449@gmail.com,,,,,,,,,,,,,,,,
Yatin 2,India,Chennai,,yatin.2022ug1074@iiitranchi.ac.in,,,,,,,,,,,,,,,,
